,Event,Xintent,Xemotion,Otheremotion
43,Это рождественское утро,"[""нет""]","[""нет""]","[""возбуждение""]"
44,Это рождественское утро,"[""нет""]","[""нет""]","[""возбуждение"", ""экстатической""]"
45,Это рождественское утро,"[""нет""]","[""нет""]","[""возбуждение"", ""счастливый"", ""веселый""]"
46,Это поп-викторины,"[""нет""]","[""нет""]","[""удивлен""]"
47,Это на следующей неделе,"[""нет""]","[""нет""]","[""возбужденные"", ""беспокойство""]"
48,На вкус это право,"[""нет""]","[""нет""]","[""счастливы"", ""довольны""]"
49,На вкус это право,"[""нет""]","[""нет""]","[""удовлетворен"", ""содержание"", ""накормленный""]"
50,Он режет короткие,"[""нет""]","[""нет""]","[""разочарован""]"
51,Он режет короткие,"[""нет""]","[""нет""]","[""разочарован""]"
52,Он никогда не пробовал,"[""нет""]","[""нет""]","[""равнодушным""]"
53,Он никогда не пробовал,"[""нет""]","[""нет""]","[""любопытный""]"
54,"Он говорит ""Да""","[""нет""]","[""нет""]","[""счастливая""]"
55,Начинается сильный дождь,"[""нет""]","[""нет""]","[""сад"", ""удивляться"", ""разочарование""]"
56,Снег идет всю ночь,"[""нет""]","[""нет""]","[""холода""]"
57,Снег идет всю ночь,"[""нет""]","[""нет""]","[""безопасный"", ""теплый""]"
58,Это делает один,"[""нет""]","[""нет""]","[""закончен""]"
59,Она начинается ливень,"[""нет""]","[""нет""]","[""сад"", ""устал""]"
60,Она начинается ливень,"[""нет""]","[""нет""]","[""хмурый""]"
61,Она начинается ливень,"[""нет""]","[""нет""]","[""разочарован"", ""грустная""]"
62,Его просто покупают,"[""нет""]","[""нет""]","[""смелая""]"
63,Он блокирует ключи PersonX по,"[""нет""]","[""нет""]","[""сердитый"", ""грустный"", ""беспокойство""]"
64,Он блокирует ключи PersonX по,"[""нет""]","[""нет""]","[""ответственный""]"
65,Это холодный день,"[""нет""]","[""нет""]","[""знобит"", ""хмурый""]"
66,Это с рейтингом R,"[""нет""]","[""нет""]","[""заинтриговала"", ""скептически""]"
67,Это с рейтингом R,"[""нет""]","[""нет""]","[""скандальные""]"
68,Это с рейтингом R,"[""нет""]","[""нет""]","[""возбуждение"", ""заинтригован""]"
69,Начинается сильный дождь,"[""нет""]","[""нет""]","[""сад"", ""хмурый""]"
70,Начинается сильный дождь,"[""нет""]","[""нет""]","[""хмурый"", ""скучно"", ""страшно""]"
71,Это время для обеда,"[""нет""]","[""нет""]","[""голодные"", ""жаждущих""]"
72,Это время для обеда,"[""нет""]","[""нет""]","[""голодные"", ""возбуждение""]"
73,Там бывает много снега,"[""нет""]","[""нет""]","[""парюсь""]"
74,Там бывает много снега,"[""нет""]","[""нет""]","[""счастлив"", ""рад""]"
75,Он длится всю жизнь,"[""нет""]","[""нет""]","[""содержание""]"
76,Он длится всю жизнь,"[""нет""]","[""нет""]","[""впечатлил""]"
77,Он приходит помочь,"[""нет""]","[""нет""]","[""облегчение""]"
78,Это намного проще,"[""нет""]","[""нет""]","[""облегчение"", ""позабавило""]"
79,Это намного проще,"[""нет""]","[""нет""]","[""счастливая""]"
80,Она живет вместе,"[""нет""]","[""нет""]","[""счастливая""]"
81,Он ходит вместе,"[""нет""]","[""нет""]","[""социальная""]"
82,Он ходит вместе,"[""нет""]","[""нет""]","[""благодарны""]"
83,Он зависает наглухо,"[""нет""]","[""нет""]","[""испуганный"", ""удивленный""]"
84,Дождь идет всю неделю,"[""нет""]","[""нет""]","[""разочарован"", ""хмурый""]"
85,Дождь идет всю неделю,"[""нет""]","[""нет""]","[""грустный"", ""мрачный"", ""устал""]"
86,Это теплый день,"[""нет""]","[""нет""]","[""содержание"", ""удобный""]"
87,Он получает облачно,"[""нет""]","[""нет""]","[""сад"", ""беспокойство""]"
88,Он получает облачно,"[""нет""]","[""нет""]","[""хмурый"", ""устал""]"
89,Он идет нормально,"[""нет""]","[""нет""]","[""хорошо"", ""рельеф""]"
90,Он идет нормально,"[""нет""]","[""нет""]","[""облегчение"", ""спокойный""]"
91,Он идет нормально,"[""нет""]","[""нет""]","[""содержание"", ""довольный""]"
92,Его никто не знает,"[""нет""]","[""нет""]","[""дружелюбный""]"
93,Идет дождь сегодня,"[""нет""]","[""нет""]","[""сад"", ""устал""]"
94,Идет дождь сегодня,"[""нет""]","[""нет""]","[""хмурый""]"
95,Начинается дождь,"[""нет""]","[""нет""]","[""хмурый"", ""устал""]"
96,Начинается дождь,"[""нет""]","[""нет""]","[""расслабленным""]"
97,Начинается дождь,"[""нет""]","[""нет""]","[""депрессия"", ""грустная""]"
98,Он отправляет домой,"[""нет""]","[""нет""]","[""запаниковал""]"
99,Идет дождь весь день,"[""нет""]","[""нет""]","[""грустный депрессивный""]"
100,Идет дождь весь день,"[""нет""]","[""нет""]","[""расстроен"", ""хмурый""]"
101,Сильных дождей,"[""нет""]","[""нет""]","[""разочарован"", ""расстроен""]"
102,Сильных дождей,"[""нет""]","[""нет""]","[""расстроен""]"
103,Сильных дождей,"[""нет""]","[""нет""]","[""депрессия""]"
104,Он медленно начал,"[""нет""]","[""нет""]","[""удовлетворен"", ""терпение""]"
105,Это очень много людей,"[""нет""]","[""нет""]","[""успешный""]"
106,Это становится легче,"[""нет""]","[""нет""]","[""простые, сложные""]"
107,Это лучший день рождения,"[""нет""]","[""нет""]","[""счастлив"", ""рад""]"
108,Это время обеда,"[""нет""]","[""нет""]","[""рада""]"
109,Это время обеда,"[""нет""]","[""нет""]","[""голодные""]"
110,Она получает поздно,"[""нет""]","[""нет""]","[""устали""]"
111,Она получает поздно,"[""нет""]","[""нет""]","[""я устал"", ""устал""]"
112,Это время для перемен,"[""нет""]","[""нет""]","[""недовольных""]"
113,Это время для перемен,"[""нет""]","[""нет""]","[""определено""]"
114,Он быстро понял,"[""нет""]","[""нет""]","[""удивлен""]"
115,Он никогда не позволял,"[""нет""]","[""нет""]","[""разочарован""]"
116,Он уже ушел,"[""нет""]","[""нет""]","[""печальный"", ""разочарованный""]"
117,Он уже ушел,"[""нет""]","[""нет""]","[""сад"", ""поздний""]"
118,Он уже ушел,"[""нет""]","[""нет""]","[""разочарован"", ""грустная""]"
119,Это на следующей неделе,"[""нет""]","[""нет""]","[""возбуждение""]"
120,Это на следующей неделе,"[""нет""]","[""нет""]","[""озабоченный""]"
121,Это любимый цвет PersonX это,"[""нет""]","[""нет""]","[""счастливая""]"
122,Это ночное время,"[""нет""]","[""нет""]","[""стресс""]"
123,Это ночное время,"[""нет""]","[""нет""]","[""равнодушным""]"
124,Она идет так хорошо,"[""нет""]","[""нет""]","[""облегчение"", ""гордый"", ""выполнена""]"
125,Это любимый PersonX животных,"[""нет""]","[""нет""]","[""в восторге""]"
126,Она начинается одной,"[""нет""]","[""нет""]","[""счастье"", ""насыщенным""]"
127,Она начинается одной,"[""нет""]","[""нет""]","[""возбуждение""]"
128,"Это время, чтобы пойти","[""нет""]","[""нет""]","[""возбуждение""]"
129,"Это время, чтобы пойти","[""нет""]","[""нет""]","[""готовность""]"
130,Это делает один,"[""нет""]","[""нет""]","[""независимая""]"
131,Она воткнется в дерево,"[""нет""]","[""нет""]","[""досадно""]"
132,Она воткнется в дерево,"[""нет""]","[""нет""]",[недоволен]
133,Ее не разорвет,"[""нет""]","[""нет""]","[""удивлен"", ""расстроился"", ""обида""]"
134,Ее не разорвет,"[""нет""]","[""нет""]","[""удивлен"", ""сад"", ""в шоке""]"
135,Ее не разорвет,"[""нет""]","[""нет""]","[""страх"", ""боль""]"
136,Он всегда говорил,"[""нет""]","[""нет""]","[""довольный""]"
137,"Он хочет, чтобы все","[""нет""]","[""нет""]","[""желание"", ""счастливый""]"
138,Он быстро понял,"[""нет""]","[""нет""]","[""удивлен"", ""любопытный""]"
139,Это ставит обувь PersonX по,"[""нет""]","[""нет""]","[""санитар""]"
140,Это канун Рождества,"[""нет""]","[""нет""]","[""возбуждение""]"
141,Это канун Рождества,"[""нет""]","[""нет""]","[""под напряжением""]"
142,Это канун Рождества,"[""нет""]","[""нет""]","[""веселый""]"
143,Он становится длинным,"[""нет""]","[""нет""]",[недоволен]
144,Он может также,"[""нет""]","[""нет""]","[""Надежда""]"
145,Это время для обеда,"[""нет""]","[""нет""]","[""голодные""]"
146,На это уходят годы,"[""нет""]","[""нет""]","[""определено""]"
147,Это День благодарения,"[""нет""]","[""нет""]","[""возбуждение"", ""энтузиазмом"", ""энергетик""]"
148,Начинается снегопад,"[""нет""]","[""нет""]","[""спокойный""]"
149,Начинается снегопад,"[""нет""]","[""нет""]","[""тихий"", ""теплый"", ""спокойный""]"
150,Начинается снегопад,"[""нет""]","[""нет""]","[""холода""]"
151,Для этого нужно время,"[""нет""]","[""нет""]","[""приспичило""]"
152,Для этого нужно время,"[""нет""]","[""нет""]","[""нетерпеливый"", ""обезумевшего""]"
153,Для этого нужно время,"[""нет""]","[""нет""]","[""приспичило""]"
154,Это время обеда,"[""нет""]","[""нет""]","[""голодные"", ""возбуждение""]"
155,Он находит место,"[""нет""]","[""нет""]","[""облегчение""]"
156,Он растет обратно,"[""нет""]","[""нет""]","[""расслабленным""]"
157,Это на вкус восхитительным,"[""нет""]","[""нет""]","[""счастливы"", ""довольны""]"
158,Это на вкус восхитительным,"[""нет""]","[""нет""]","[""содержание""]"
159,Это на вкус восхитительным,"[""нет""]","[""нет""]","[""доволен"", ""счастлив""]"
160,Идет дождь так сильно,"[""нет""]","[""нет""]","[""депрессия"", ""хмурый"", ""сонный""]"
161,Он подъезжает машина PersonX по,"[""нет""]","[""нет""]","[""напряг, подчеркнул""]"
162,Это веселая ночь,"[""нет""]","[""нет""]","[""счастливая""]"
163,Это веселая ночь,"[""нет""]","[""нет""]","[""счастье"", ""в восторге""]"
164,Это веселая ночь,"[""нет""]","[""нет""]","[""счастливая""]"
165,Это было бы легко,"[""нет""]","[""нет""]","[""уверенный"", ""выполнена""]"
166,Он сильно снегов,"[""нет""]","[""нет""]","[""праздничный""]"
167,Он сильно снегов,"[""нет""]","[""нет""]","[""депрессия"", ""схожу с ума""]"
168,Он сильно снегов,"[""нет""]","[""нет""]","[""страх"", ""холод""]"
169,Это в дождливый день,"[""нет""]","[""нет""]","[""грустный"", ""подавленный"", ""скучно""]"
170,Это в дождливый день,"[""нет""]","[""нет""]","[""сад"", ""раздражен""]"
171,Это в дождливый день,"[""нет""]","[""нет""]","[""печальный"", ""разочарованный""]"
172,Это долгое время,"[""нет""]","[""нет""]","[""разочаровался""]"
173,Это долгое время,"[""нет""]","[""нет""]","[""нетерпеливый"", ""тревожный""]"
174,Пришло время побороться,"[""нет""]","[""нет""]","[""возбуждение""]"
175,Пришло время побороться,"[""нет""]","[""нет""]","[""подготовленные""]"
176,Пришло время побороться,"[""нет""]","[""нет""]","[""амбициозный"", ""возбужденный"", ""нервный""]"
177,"Он, наконец, победить","[""нет""]","[""нет""]","[""победоносный"", ""выполнена""]"
178,"Он, наконец, победить","[""нет""]","[""нет""]","[""освобождение""]"
179,Он принимает персоны в час,"[""нет""]","[""нет""]","[""тревога""]"
180,Он принимает персоны в час,"[""нет""]","[""нет""]","[""раздражен"", ""поздно""]"
181,Забавный вкус,"[""нет""]","[""нет""]","[""отвращение""]"
182,Забавный вкус,"[""нет""]","[""нет""]","[""отвращение"", ""перепутал""]"
183,Начинается сильный дождь,"[""нет""]","[""нет""]","[""раздражен"", ""расстроен""]"
184,Начинается сильный дождь,"[""нет""]","[""нет""]","[""грустный"", ""мрачный"", ""несчастная""]"
185,Начинается сильный дождь,"[""нет""]","[""нет""]","[""грустный"", ""мрачный"", ""раздражен""]"
186,Он уже ушел,"[""нет""]","[""нет""]","[""сад""]"
187,Это длится долго,"[""нет""]","[""нет""]","[""надоело"", ""скучно"", ""измученный""]"
188,Снег идет всю ночь,"[""нет""]","[""нет""]","[""счастливая""]"
189,Снег идет всю ночь,"[""нет""]","[""нет""]","[""праздничный""]"
190,Снег идет всю ночь,"[""нет""]","[""нет""]","[""счастье"", ""жаждущих""]"
191,"Это, наконец, сделать","[""нет""]","[""нет""]","[""счастливая""]"
192,Он находит пару,"[""нет""]","[""нет""]","[""любопытный""]"
193,Это холодный зимний день,"[""нет""]","[""нет""]","[""скучно"", ""грустно""]"
194,Это хорошая идея,"[""нет""]","[""нет""]","[""уважение""]"
195,Это хорошая идея,"[""нет""]","[""нет""]","[""счастье"", ""определено""]"
196,На вкус это ужасно,"[""нет""]","[""нет""]","[""отвращение"", ""неудовлетворенные"", ""голодный""]"
197,Он получает облачно,"[""нет""]","[""нет""]","[""парюсь""]"
198,Он может также,"[""нет""]","[""нет""]","[""безэмоциональной""]"
199,Это холодный день,"[""нет""]","[""нет""]","[""охлажденная""]"
200,Это холодный день,"[""нет""]","[""нет""]",[недоволен]
201,Она идет так хорошо,"[""нет""]","[""нет""]","[""счастливая""]"
202,Она идет так хорошо,"[""нет""]","[""нет""]","[""радостный"", ""счастливый""]"
203,Он всегда есть,"[""нет""]","[""нет""]","[""спасибо""]"
204,Это холодный зимний день,"[""нет""]","[""нет""]","[""сад""]"
205,Это холодный зимний день,"[""нет""]","[""нет""]","[""хмурый""]"
206,Это очень тяжелый дождь,"[""нет""]","[""нет""]","[""мрачный"", ""грустный""]"
207,Это очень тяжелый дождь,"[""нет""]","[""нет""]","[""хмурый"", ""комфорт"", ""изолированные""]"
208,Это очень много людей,"[""нет""]","[""нет""]","[""сюрприз""]"
209,Это очень много людей,"[""нет""]","[""нет""]","[""в шоке""]"
210,Он длится всю жизнь,"[""нет""]","[""нет""]","[""счастливая""]"
211,Он ничего не находит,"[""нет""]","[""нет""]","[""облегчение""]"
212,Он встречного движения,"[""нет""]","[""нет""]","[""нервный""]"
213,Он зависает наглухо,"[""нет""]","[""нет""]","[""злой"", ""разочарование""]"
214,Он зависает наглухо,"[""нет""]","[""нет""]","[""разочарование""]"
215,Он уже ушел,"[""нет""]","[""нет""]","[""разочарован""]"
216,Он уже ушел,"[""нет""]","[""нет""]","[""сад""]"
217,Это намного проще,"[""нет""]","[""нет""]","[""содержание""]"
218,Его никто не знает,"[""нет""]","[""нет""]",[любопытство]
219,Его никто не знает,"[""нет""]","[""нет""]","[""счастливая""]"
220,Это совершенно пустые,"[""нет""]","[""нет""]","[""расстроен""]"
221,Это совершенно пустые,"[""нет""]","[""нет""]","[""сад"", ""неудовлетворенные"", ""несбывшихся""]"
222,Это является на вкус странным,"[""нет""]","[""нет""]","[""отвращение"", ""тошнота""]"
223,Это любимый цвет PersonX это,"[""нет""]","[""нет""]","[""счастливая""]"
224,Это любимый цвет PersonX это,"[""нет""]","[""нет""]","[""вдохновение""]"
225,Это снег снаружи,"[""нет""]","[""нет""]","[""счастливая""]"
226,Это снег снаружи,"[""нет""]","[""нет""]","[""тихий"", ""теплый""]"
227,Это снег снаружи,"[""нет""]","[""нет""]","[""экстатической""]"
228,Он попадет,"[""нет""]","[""нет""]","[""рад"", ""завершен""]"
229,Он медленно начал,"[""нет""]","[""нет""]","[""любопытный""]"
230,Он медленно начал,"[""нет""]","[""нет""]","[""озабоченный""]"
231,Это любимый сезон это персоны,"[""нет""]","[""нет""]","[""счастливая""]"
232,Это любимый сезон это персоны,"[""нет""]","[""нет""]","[""радовались, сентиментальные""]"
233,Это закрыть игру,"[""нет""]","[""нет""]","[""возбуждение""]"
234,Это закрыть игру,"[""нет""]","[""нет""]","[""нервный""]"
235,Это закрыть игру,"[""нет""]","[""нет""]","[""жаждущих"", ""нервный""]"
236,Это занимает несколько дней,"[""нет""]","[""нет""]",[недоволен]
237,Это занимает несколько дней,"[""нет""]","[""нет""]",[недоволен]
238,Это самый лучший способ,"[""нет""]","[""нет""]","[""приятного""]"
239,Он чуть-чуть промахнулся,"[""нет""]","[""нет""]","[""облегчение"", ""Шакен""]"
240,Настало время обеда,"[""нет""]","[""нет""]","[""голодные"", ""довольный""]"
241,Настало время обеда,"[""нет""]","[""нет""]","[""счастье"", ""содержание""]"
242,Настало время обеда,"[""нет""]","[""нет""]","[""счастливая""]"
243,Настало время обеда,"[""нет""]","[""нет""]","[""счастливая""]"
244,Это происходит,"[""нет""]","[""нет""]","[""насыщенный, совершенный""]"
245,Он вступает в силу,"[""нет""]","[""нет""]","[""облегчение"", ""утешение"", ""смилостивились""]"
246,Он вступает в силу,"[""нет""]","[""нет""]","[""депрессия, уныние""]"
247,"Это время, чтобы выполнить","[""нет""]","[""нет""]","[""возбуждение"", ""нервный""]"
248,"Это время, чтобы выполнить","[""нет""]","[""нет""]","[""нервная"", ""возбуждение""]"
249,Это очень жаркий день,"[""нет""]","[""нет""]","[""теплый""]"
250,Это очень жаркий день,"[""нет""]","[""нет""]","[""теплый""]"
251,Это очень жаркий день,"[""нет""]","[""нет""]","[""разочарование"", ""горячий"", ""потный""]"
252,Это занимает месяцы,"[""нет""]","[""нет""]","[""продолжительное""]"
253,Это занимает месяцы,"[""нет""]","[""нет""]",[недоволен]
254,Это занимает месяцы,"[""нет""]","[""нет""]","[""разочарование"", ""тоска""]"
255,Он тянет с трудом,"[""нет""]","[""нет""]","[""решительный"", ""сильный""]"
256,Он тянет с трудом,"[""нет""]","[""нет""]","[""устали""]"
257,Это собирается дождь,"[""нет""]","[""нет""]","[""предупрежден""]"
258,Это собирается дождь,"[""нет""]","[""нет""]",[недоволен]
259,Это собирается дождь,"[""нет""]","[""нет""]","[""возбуждение""]"
260,Он чуть-чуть промахнулся,"[""нет""]","[""нет""]","[""разочарован""]"
261,Это идет очень хорошо,"[""нет""]","[""нет""]","[""уверенный""]"
262,Это идет очень хорошо,"[""нет""]","[""нет""]","[""облегчение"", ""экстатической"", ""гордый""]"
263,Он становится легче,"[""нет""]","[""нет""]","[""лучшее""]"
264,Он идет очень тяжело,"[""нет""]","[""нет""]","[""мрачный"", ""грустный""]"
265,Он идет очень тяжело,"[""нет""]","[""нет""]","[""успокаивал""]"
266,Он приходит по почте,"[""нет""]","[""нет""]","[""возбуждение"", ""радостный"", ""счастливый""]"
267,Он приходит по почте,"[""нет""]","[""нет""]","[""возбуждение""]"
268,Это мой первый раз,"[""нет""]","[""нет""]","[""нервный""]"
269,Это мой первый раз,"[""нет""]","[""нет""]","[""нервная"", ""возбуждение""]"
270,Это пищевое отравление,"[""нет""]","[""нет""]","[""разочарование"", ""убогие""]"
271,Это пищевое отравление,"[""нет""]","[""нет""]","[""запаниковал""]"
272,На это уходят годы,"[""нет""]","[""нет""]","[""нетерпеливый"", ""дерганый""]"
273,На это уходят годы,"[""нет""]","[""нет""]","[""сад""]"
274,Он валит без сознания,"[""нет""]","[""нет""]","[""убогие""]"
275,Он шел дождь весь день,"[""нет""]","[""нет""]","[""сад"", ""хмурый""]"
276,Он кладет лед,"[""нет""]","[""нет""]","[""облегчение""]"
277,Он находит владельца,"[""нет""]","[""нет""]","[""облегчение""]"
278,Он находит владельца,"[""нет""]","[""нет""]","[""облегчение""]"
279,Он забирает домой,"[""нет""]","[""нет""]","[""содержание""]"
280,Он в конце концов сказал,"[""нет""]","[""нет""]","[""стыдно""]"
281,Он в конце концов сказал,"[""нет""]","[""нет""]","[""в шоке""]"
282,Это любимый праздник PersonX это,"[""нет""]","[""нет""]","[""веселый""]"
283,На вкус это право,"[""нет""]","[""нет""]","[""довольный""]"
284,Это персоны с первого дня в школе,"[""нет""]","[""нет""]","[""нервный""]"
285,Это персоны с первого дня в школе,"[""нет""]","[""нет""]","[""нервная"", ""возбуждение""]"
286,Это персоны с первого дня в школе,"[""нет""]","[""нет""]","[""страшно""]"
287,Он растет обратно,"[""нет""]","[""нет""]","[""лучше"", ""довольный""]"
288,Он растет обратно,"[""нет""]","[""нет""]","[""облегчение и радость""]"
289,Он становится легче,"[""нет""]","[""нет""]","[""выполнена""]"
290,На улице идет дождь,"[""нет""]","[""нет""]","[""хмурый"", ""устал""]"
291,На улице идет дождь,"[""нет""]","[""нет""]","[""сад"", ""хмурый""]"
292,Это становится легче,"[""нет""]","[""нет""]","[""счастье"", ""облегчение""]"
293,Это очень тяжелый дождь,"[""нет""]","[""нет""]","[""хмурый""]"
294,Он хорошо вписывается,"[""нет""]","[""нет""]","[""порадовал""]"
295,Он хорошо вписывается,"[""нет""]","[""нет""]","[""удобные""]"
296,Он хорошо вписывается,"[""нет""]","[""нет""]","[""довольный""]"
297,Становится так плохо,"[""нет""]","[""нет""]","[""ужас"", ""сад"", ""расстроен""]"
298,Становится так плохо,"[""нет""]","[""нет""]","[""завалили""]"
299,Становится так плохо,"[""нет""]","[""нет""]","[""overwhemled"", ""злой""]"
300,Это любимый праздник PersonX это,"[""нет""]","[""нет""]","[""счастливая""]"
301,Это любимый праздник PersonX это,"[""нет""]","[""нет""]","[""возбуждение"", ""праздничный"", ""веселый""]"
302,Она кормила его обратно,"[""нет""]","[""нет""]","[""внимательный"", ""добрый""]"
303,Она кормила его обратно,"[""нет""]","[""нет""]","[""надежды"", ""заинтересованная""]"
304,Это долгий день,"[""нет""]","[""нет""]","[""сад"", ""скучно""]"
305,Это долгий день,"[""нет""]","[""нет""]","[""устали""]"
306,Это долгий день,"[""нет""]","[""нет""]","[""уныние""]"
307,Она вкусная,"[""нет""]","[""нет""]","[""довольный""]"
308,Она вкусная,"[""нет""]","[""нет""]","[""счастливая""]"
309,Она вкусная,"[""нет""]","[""нет""]","[""доволен"", ""счастлив""]"
310,Он в течение длительного времени,"[""нет""]","[""нет""]",[недоволен]
311,Идет дождь сегодня,"[""нет""]","[""нет""]","[""хмурый""]"
312,Он вдруг стал,"[""нет""]","[""нет""]","[""удивлен""]"
313,Получается черный,"[""нет""]","[""нет""]","[""парюсь""]"
314,Получается черный,"[""нет""]","[""нет""]","[""монохром""]"
315,Он валит без сознания,"[""нет""]","[""нет""]","[""обида"", ""боль"", ""депрессия""]"
316,Он впитывает влажный,"[""нет""]","[""нет""]",[недоволен]
317,Это длится долго,"[""нет""]","[""нет""]","[""довольный""]"
318,Это никогда не кончится,"[""нет""]","[""нет""]","[""бешеный""]"
319,Это никогда не кончится,"[""нет""]","[""нет""]","[""разочарование""]"
320,Это никогда не кончится,"[""нет""]","[""нет""]","[""тревожное ожидание конца""]"
321,Идет дождь так сильно,"[""нет""]","[""нет""]","[""печальный , угрюмый""]"
322,Идет дождь так сильно,"[""нет""]","[""нет""]","[""сад""]"
323,Это жаркий день,"[""нет""]","[""нет""]","[""устал"", ""ворчун""]"
324,Это жаркий день,"[""нет""]","[""нет""]","[""обезвоженная"", ""устал""]"
325,Это жаркий день,"[""нет""]","[""нет""]","[""потный""]"
326,Это плохая идея,"[""нет""]","[""нет""]","[""нерешительный""]"
327,Это плохая идея,"[""нет""]","[""нет""]","[""страшно"", ""боюсь""]"
328,Он находит место,"[""нет""]","[""нет""]","[""счастливая""]"
329,Он находит место,"[""нет""]","[""нет""]","[""облегчение""]"
330,Она начинается с дождей,"[""нет""]","[""нет""]","[""сад""]"
331,Она начинается с дождей,"[""нет""]","[""нет""]","[""мрачный"", ""грустный""]"
332,Это любимый сезон это персоны,"[""нет""]","[""нет""]","[""головокружение"", ""содержание"", ""счастливый""]"
333,Это происходит,"[""нет""]","[""нет""]","[""возбуждение""]"
334,Он никогда не слышал,"[""нет""]","[""нет""]","[""расстроен""]"
335,Снег идет всю ночь,"[""нет""]","[""нет""]","[""счастливый возбужденных""]"
336,Снег идет всю ночь,"[""нет""]","[""нет""]","[""счастье"", ""взволнованный"", ""злой""]"
337,Идет дождь снаружи,"[""нет""]","[""нет""]","[""грустный"", ""мрачный"", ""подавленный""]"
338,Идет дождь снаружи,"[""нет""]","[""нет""]","[""расстроен"", ""скучно""]"
339,Идет дождь снаружи,"[""нет""]","[""нет""]","[""хмурый"", ""расстроен""]"
340,Это День благодарения,"[""нет""]","[""нет""]","[""радостный"", ""благодарен"", ""счастливый""]"
341,Это День благодарения,"[""нет""]","[""нет""]","[""благодарны""]"
342,Это любимый сезон PersonX по,"[""нет""]","[""нет""]","[""живой"", ""энергичный""]"
343,Это любимый сезон PersonX по,"[""нет""]","[""нет""]","[""счастье"", ""содержание""]"
344,Это любимый сезон PersonX по,"[""нет""]","[""нет""]","[""счастлив"", ""рад""]"
345,Он начинает снег,"[""нет""]","[""нет""]","[""теплый"", ""спокойный""]"
346,Он начинает снег,"[""нет""]","[""нет""]","[""холода""]"
